
param N:= 50;

param M:= 50;

param B_c:= 1000;

param B_CPU:= 1000;

param B_m:= 1000;

param: w cpu m:= 
1	205	429	41
2	422	166	177
3	22	185	138
4	149	10	276
5	342	482	317
6	22	399	71
7	321	60	326
8	299	63	448
9	165	377	121
10	285	329	253
11	224	416	183
12	209	105	175
13	418	179	114
14	391	394	336
15	491	352	288
16	214	143	231
17	282	288	42
18	493	335	439
19	478	64	212
20	168	404	301
21	435	312	58
22	128	183	277
23	406	294	496
24	283	289	315
25	46	65	188
26	74	445	439
27	41	226	26
28	229	81	444
29	12	23	161
30	373	499	187
31	127	440	421
32	185	323	134
33	384	467	152
34	434	237	311
35	490	124	150
36	483	246	188
37	394	211	209
38	29	284	29
39	81	152	133
40	28	109	223
41	6	97	337
42	374	145	111
43	302	122	401
44	382	147	346
45	74	444	331
46	410	482	208
47	298	34	402
48	418	130	215
49	485	142	64
50	211	352	333
;
