
param N:= 100;

param M:= 100;

param B_c:= 1000;

param B_CPU:= 1000;

param B_m:= 1000;

param: w cpu m:= 
1	131	497	418
2	471	223	398
3	62	452	370
4	146	45	144
5	88	347	300
6	177	442	500
7	66	347	249
8	268	460	75
9	154	314	314
10	84	103	473
11	309	21	372
12	41	490	133
13	228	91	61
14	495	394	386
15	44	456	264
16	354	293	29
17	483	210	336
18	361	382	199
19	487	155	272
20	338	126	472
21	151	482	131
22	26	8	235
23	175	229	36
24	490	214	288
25	376	188	484
26	340	27	410
27	26	434	494
28	58	418	500
29	328	460	403
30	168	335	206
31	463	300	140
32	142	325	107
33	348	449	38
34	105	59	178
35	280	413	103
36	124	171	143
37	195	95	282
38	264	327	456
39	62	223	232
40	69	30	490
41	101	367	433
42	235	228	98
43	67	234	449
44	500	337	278
45	259	268	288
46	186	239	469
47	215	191	449
48	393	45	309
49	17	454	284
50	168	319	449
51	208	52	99
52	141	191	216
53	481	62	82
54	222	342	302
55	462	164	498
56	143	19	203
57	262	299	327
58	215	318	101
59	112	445	473
60	137	123	49
61	1	203	466
62	440	490	396
63	172	51	29
64	414	277	18
65	138	404	69
66	382	159	96
67	129	103	449
68	53	51	11
69	253	294	203
70	467	435	92
71	35	354	407
72	494	322	1
73	81	75	381
74	430	157	175
75	435	8	60
76	239	307	10
77	338	294	246
78	199	319	118
79	173	457	305
80	252	98	495
81	394	153	5
82	181	373	202
83	124	456	9
84	377	386	17
85	119	102	297
86	47	145	485
87	243	339	301
88	354	135	406
89	407	195	15
90	106	82	146
91	250	164	397
92	303	96	129
93	152	493	425
94	396	176	451
95	76	43	138
96	310	123	150
97	440	378	383
98	465	496	433
99	433	330	117
100	17	427	239
;
